QUALIFIER	NR_NC filter	qt_cluster 200	PC-6	3C	PC32	0	23	41	53	66
193932_s_at	1	3	147	127	153	56	126	80	116	84
193931_at	1	NC	7	5	6	4	6	5	5	6
193930_at	1	NC	6	5	5	4	6	5	6	7
193929_s_at	1	5	20	19	15	14	23	33	50	56
193928_s_at	1	NC	7	7	5	7	7	6	7	7
193927_s_at	0	NC	5	4	5	4	5	5	5	6
193926_at	1	NC	5	5	5	4	5	4	6	6
193925_at	1	NC	6	6	5	5	6	5	6	5
193924_at	1	NC	5	4	5	4	6	5	5	6
193923_s_at	1	3	146	119	190	202	193	199	246	213
193922_at	1	17	5	5	10	7	33	98	87	88
193921_s_at	1	NC	55	37	46	55	47	27	18	15
193920_at	1	NC	6	6	5	5	5	5	5	5
193919_at	1	4	6	5	4	4	6	5	6	6
193918_at	1	NC	7	5	6	5	7	6	7	7
193917_at	1	NC	6	6	6	5	7	7	6	6
193916_s_at	1	11	189	133	134	132	65	47	50	49
193915_s_at	1	NC	23	15	12	16	10	5	6	7
193914_at	1	5	6	7	5	5	8	12	15	20
193913_s_at	1	NC	6	4	4	4	5	4	6	5
193912_s_at	1	NC	279	296	321	268	364	300	455	431
193911_at	1	NC	5	4	5	4	5	4	5	5
193910_at	1	NC	5	5	4	4	5	4	5	5
193909_at	1	NC	6	6	5	5	5	5	7	6
193908_s_at	1	NC	12	11	11	12	17	11	37	26
193907_at	1	31	171	167	164	123	208	133	42	25
193906_s_at	1	1	36	54	49	59	64	21	14	11
193905_at	1	NC	24	29	28	26	37	32	14	12
193904_s_at	1	NC	5	4	5	4	5	4	5	5
193903_at	1	NC	5	5	4	4	5	4	5	5
193902_at	1	NC	7	7	9	9	9	8	11	11
193901_s_at	1	NC	90	94	97	68	102	77	93	94
193900_at	1	4	5	5	5	4	5	5	6	5
193899_at	1	NC	5	5	4	4	5	5	5	5
193898_at	1	19	12	13	15	13	48	55	73	55
193897_at	1	NC	5	4	4	4	5	4	5	5
193896_s_at	0	NC	5	5	4	4	5	4	5	5
193895_at	1	NC	5	4	4	4	5	4	5	5
193894_at	1	NC	33	40	32	54	41	28	28	22
193893_at	1	NC	7	7	6	4	6	5	8	8
193892_at	1	NC	5	4	4	4	5	4	5	5
193891_at	1	4	68	54	73	40	91	65	116	65
193890_s_at	1	NC	13	11	11	27	16	14	13	15
193889_at	1	2	39	32	43	32	57	30	73	68
193888_s_at	1	34	638	407	761	322	731	442	1179	806
193887_s_at	1	NC	114	56	79	45	90	41	82	42
193886_at	1	NC	210	249	210	267	176	215	189	246
193885_at	1	NC	6	6	6	5	7	6	7	7
193884_at	1	6	53	56	43	52	16	15	10	7
193883_s_at	1	2	28	32	28	37	48	44	38	44
193882_at	1	7	532	656	460	614	644	1008	734	1025
193881_at	1	NC	6	5	5	5	6	5	6	6
193880_at	1	25	195	214	221	143	114	217	94	123
193879_s_at	0	NC	63	64	80	65	73	55	38	36
193878_s_at	1	NC	6	4	5	4	5	4	6	6
193877_at	1	NC	5	4	4	4	5	4	5	5
193876_at	1	NC	6	5	6	6	6	6	7	7
193875_s_at	1	6	51	57	45	98	47	45	25	21
193874_at	1	NC	21	12	23	20	25	18	27	19
193873_at	1	4	140	64	83	76	68	39	40	25
