	Nishimura	Hashimshony	Tintori
F33D4.6	2.94951825006767	0	0
R09A8.2	5.06967607967003	2.24075118694339	5.52955601159149
F39B2.1	6.72423225002926	4.58165583480955	7.71329242713748
T12B3.2	2.85360289352132	0	0
C32A3.3	8.28578836097051	7.05614228261813	7.86311087358927
R05G6.5	3.9781507194938	1.7188229617999	2.24738622360432
K11B4.1	5.99287455814728	4.0862832589301	5.4179859412213
dph-1	7.76071305709736	6.34810951931892	7.12091243535777
ZK1058.5	8.27639521420163	5.06698976443109	4.62543604113178
F13H10.4	6.83736267657034	5.82206466773982	7.75536718130297
tir-1	7.28798791951794	2.58430530836522	3.14419706573135
F42C5.10	2.82758698834393	0	0
E04D5.4	2.81844332896539	0	0
R05G6.9	3.16679334080936	2.03335258168278	0
C46A5.8	3.5415305680185	3.54890022824812	2.53215118159866
mmcm-1	7.7293952047378	7.16307921633095	7.82479551311901
F33D11.12	7.37075609171787	6.44301173071911	8.08260844630531
egl-19	2.65696694274606	0	0
C08G9.2	3.06359408124351	0	0
F14D7.2	8.16877652823988	7.47717872043131	8.0171801997576
C36A4.11	6.76160766755737	1.60795598459706	3.76860368643425
F34D10.3	8.33185440207118	3.21662286333064	4.41757810316945
R05G6.10	3.5050477566595	2.45490733399184	2.21751626198602
F55G1.1	3.46919877483022	1.40101549873695	2.17554327545168
F59B10.6	2.72550679114484	0	0
Y54E5A.7	6.9098192403506	5.25921060816079	5.99981784070573
ZK673.6	2.46242791909552	1.45056321272828	0
dog-1	6.33675027964867	4.27832023274116	5.70647511900397
R10E9.3	8.66792034446906	2.15961116263217	5.41989905404724
hmp-2	7.9603894884957	6.20110408175483	7.26035936625419
C36E8.1	8.33283932786274	6.68094186754298	7.63419710091317
toh-1	8.0228746778074	2.14696765202032	0
ape-1	8.17029945651193	7.44317106118493	9.58130944105016
C06A1.2	2.66486824037208	1.45178934749092	0
col-14	2.68525411654679	0	1.62379859605743
C50F7.1	2.91025623449644	1.47114632955015	2.79402526647187
F32E10.9	3.85481261289376	3.7180106142511	3.31892952445044
Y40C5A.3	2.65781132857141	1.29736227017341	0
C14A4.7	2.66332338575341	0	0
cyp-25A4	8.10369906004613	2.16704280848342	1.9757303491506
mtm-3	7.91256085088234	6.41237478507756	7.31936142417408
M116.5	5.78163903994729	4.31685658584432	4.49995839249924
F14H3.6	9.62413925140844	9.3693347932648	9.23351772880139
frm-1	4.5911120746452	3.97881044666947	3.99515685437608
clec-143	2.52460670032086	0	0
W08E12.6	3.73120597390906	1.87869467295309	0
glb-12	2.52247759968128	0	0
C50B6.3	6.97324750863465	6.89343479283671	7.58175282278164
C36E8.4	8.11403225009533	1.64044042004695	2.13261285655338
F34D10.9	8.21434986674877	1.5905268543561	2.66205804766514
R10E9.2	7.44696232425766	0	0
syn-16	5.58419055982594	6.61096935300862	6.92944412598277
C14A4.9	2.47542743371772	0	0
glb-11	8.03640232975235	1.69839675174428	0
R06F6.6	2.39356779461822	0	0
Y1A5A.1	7.24297270555047	0	0
cyp-25A3	8.09756868931718	2.04213514668529	0
nit-1	7.81541562618742	0	0
acy-3	7.43309296095911	0	0
D2096.11	5.80987083541862	2.66928537207354	1.79856426991703
